bot_config,lam_confirm,lam_disconfirm,session_id,round,draw_red,draw_blue,true_bayes_mode,bot_mode,modes_diverge,quadratic_score
bayesian,0.0,0.0,71,5,2,1,13,13,0,0.12947396111233597
bayesian,0.0,0.0,72,1,2,1,13,13,0,0.10550662370211243
bayesian,0.0,0.0,72,2,2,1,13,13,0,0.14088837289301692
bayesian,0.0,0.0,72,3,2,1,13,13,0,0.16518572722541386
bayesian,0.0,0.0,72,4,2,1,13,13,0,0.17174554358161717
bayesian,0.0,0.0,72,5,2,1,13,13,0,0.12947396111233592
bayesian,0.0,0.0,73,1,2,1,13,13,0,0.10550662370211243
bayesian,0.0,0.0,73,2,3,0,17,17,0,-0.00905142758857927
bayesian,0.0,0.0,73,3,2,1,16,16,0,-0.01800968856186924
bayesian,0.0,0.0,73,4,2,1,15,15,0,-0.062306743348037125
bayesian,0.0,0.0,73,5,2,1,15,15,0,-0.1677439212065251
bayesian,0.0,0.0,74,1,2,1,13,13,0,0.10550662370211243
bayesian,0.0,0.0,74,2,3,0,17,17,0,-0.00905142758857927
bayesian,0.0,0.0,74,3,1,2,13,13,0,0.16518572722541391
bayesian,0.0,0.0,74,4,2,1,13,13,0,0.17174554358161723
